--from https://raw.githubusercontent.com/postgis/postgis/svn-trunk/spatial_ref_sys.sql
3819,EPSG,3819,"GEOGCS[""HD1909"",DATUM[""Hungarian_Datum_1909"",SPHEROID[""Bessel 1841"",6377397.155,299.1528128,AUTHORITY[""EPSG"",""7004""]],TOWGS84[595.48,121.69,515.35,4.115,-2.9383,0.853,-3.408],AUTHORITY[""EPSG"",""1024""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""3819""]]","+proj=longlat +ellps=bessel +towgs84=595.48,121.69,515.35,4.115,-2.9383,0.853,-3.408 +no_defs"
3821,EPSG,3821,"GEOGCS[""TWD67"",DATUM[""Taiwan_Datum_1967"",SPHEROID[""GRS 1967 Modified"",6378160,298.25,AUTHORITY[""EPSG"",""7050""]],AUTHORITY[""EPSG"",""1025""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""3821""]]",+proj=longlat +ellps=aust_SA +no_defs
3824,EPSG,3824,"GEOGCS[""TWD97"",DATUM[""Taiwan_Datum_1997"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY[""EPSG"",""1026""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""3824""]]","+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs"
3889,EPSG,3889,"GEOGCS[""IGRS"",DATUM[""Iraqi_Geospatial_Reference_System"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY[""EPSG"",""1029""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""3889""]]","+proj=longlat +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +no_defs"
3906,EPSG,3906,"GEOGCS[""MGI 1901"",DATUM[""MGI_1901"",SPHEROID[""Bessel 1841"",6377397.155,299.1528128,AUTHORITY[""EPSG"",""7004""]],TOWGS84[682,-203,480,0,0,0,0],AUTHORITY[""EPSG"",""1031""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""3906""]]","+proj=longlat +ellps=bessel +towgs84=682,-203,480,0,0,0,0 +no_defs"
4001,EPSG,4001,"GEOGCS[""Unknown datum based upon the Airy 1830 ellipsoid"",DATUM[""Not_specified_based_on_Airy_1830_ellipsoid"",SPHEROID[""Airy 1830"",6377563.396,299.3249646,AUTHORITY[""EPSG"",""7001""]],AUTHORITY[""EPSG"",""6001""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4001""]]",+proj=longlat +ellps=airy +no_defs
4002,EPSG,4002,"GEOGCS[""Unknown datum based upon the Airy Modified 1849 ellipsoid"",DATUM[""Not_specified_based_on_Airy_Modified_1849_ellipsoid"",SPHEROID[""Airy Modified 1849"",6377340.189,299.3249646,AUTHORITY[""EPSG"",""7002""]],AUTHORITY[""EPSG"",""6002""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4002""]]",+proj=longlat +ellps=mod_airy +no_defs
4003,EPSG,4003,"GEOGCS[""Unknown datum based upon the Australian National Spheroid"",DATUM[""Not_specified_based_on_Australian_National_Spheroid"",SPHEROID[""Australian National Spheroid"",6378160,298.25,AUTHORITY[""EPSG"",""7003""]],AUTHORITY[""EPSG"",""6003""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4003""]]",+proj=longlat +ellps=aust_SA +no_defs
4004,EPSG,4004,"GEOGCS[""Unknown datum based upon the Bessel 1841 ellipsoid"",DATUM[""Not_specified_based_on_Bessel_1841_ellipsoid"",SPHEROID[""Bessel 1841"",6377397.155,299.1528128,AUTHORITY[""EPSG"",""7004""]],AUTHORITY[""EPSG"",""6004""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4004""]]",+proj=longlat +ellps=bessel +no_defs
4005,EPSG,4005,"GEOGCS[""Unknown datum based upon the Bessel Modified ellipsoid"",DATUM[""Not_specified_based_on_Bessel_Modified_ellipsoid"",SPHEROID[""Bessel Modified"",6377492.018,299.1528128,AUTHORITY[""EPSG"",""7005""]],AUTHORITY[""EPSG"",""6005""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4005""]]",+proj=longlat +a=6377492.018 +b=6356173.508712696 +no_defs
